task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
80	d9/2dcc63	5934452	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (SRR27320660)	COMPLETED	0	2026-03-26 17:05:04.372	1m 27s	10s	138.2%	21.3 MB	220.9 MB	1.2 GB	2.5 MB
88	ad/b322a3	5934513	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (SRR17866818)	COMPLETED	0	2026-03-26 17:05:59.449	31.7s	10s	140.9%	21.3 MB	220.9 MB	1.1 GB	2.5 MB
77	fe/a8a358	5934429	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (SRR27320655)	COMPLETED	0	2026-03-26 17:04:56.817	1m 34s	11s	138.3%	22.4 MB	220.9 MB	1.2 GB	2.5 MB
89	44/aab4f9	5934515	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (SRR17866822)	COMPLETED	0	2026-03-26 17:06:07.084	24s	11s	142.0%	20.9 MB	220.9 MB	1.2 GB	2.4 MB
87	f8/0c5b89	5934514	NFCORE_RNASPLICE:RNASPLICE:EDGER_DEU:SUBREAD_FEATURECOUNTS (SRR17866818)	COMPLETED	0	2026-03-26 17:06:03.087	33.1s	13s	478.9%	635.6 MB	1.1 GB	1.6 GB	396 MB
81	25/65e2c8	5934454	NFCORE_RNASPLICE:RNASPLICE:EDGER_DEU:SUBREAD_FEATURECOUNTS (SRR27320660)	COMPLETED	0	2026-03-26 17:05:07.089	1m 29s	11s	496.6%	504.8 MB	996.1 MB	1.5 GB	233.1 MB
74	e3/244b75	5934422	NFCORE_RNASPLICE:RNASPLICE:SUPPA_SALMON:PSIPERISOFORM (suppa_tpm.txt)	COMPLETED	0	2026-03-26 17:04:27.144	2m 34s	1m 59s	91.1%	3.1 GB	3.4 GB	3.2 GB	59.8 MB
83	7d/5ea9c4	5934469	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SRR27320659)	COMPLETED	0	2026-03-26 17:05:35.101	1m 36s	38s	659.6%	15.4 GB	36 GB	3.1 GB	1.5 GB
94	40/70608d	5934557	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (SRR27320659)	COMPLETED	0	2026-03-26 17:07:27.085	24.4s	13s	140.4%	23.1 MB	220.9 MB	1.5 GB	2.6 MB
93	5f/c0d4ed	5934555	NFCORE_RNASPLICE:RNASPLICE:SUPPA_SALMON:SPLIT_FILES_IOI (suppa_isoform.psi)	COMPLETED	0	2026-03-26 17:07:11.085	40.4s	11s	97.3%	294 MB	395.3 MB	68.2 MB	103.2 MB
90	49/6ab438	5934520	NFCORE_RNASPLICE:RNASPLICE:EDGER_DEU:SUBREAD_FEATURECOUNTS (SRR17866822)	COMPLETED	0	2026-03-26 17:06:15.564	1m 46s	16s	476.5%	740.8 MB	1.2 GB	2.1 GB	660.6 MB
95	38/614067	5934558	NFCORE_RNASPLICE:RNASPLICE:EDGER_DEU:SUBREAD_FEATURECOUNTS (SRR27320659)	COMPLETED	0	2026-03-26 17:07:31.084	30s	16s	475.4%	730.5 MB	1.2 GB	2.6 GB	798.1 MB
92	a7/96e0cd	5934552	NFCORE_RNASPLICE:RNASPLICE:SUPPA_SALMON:SPLIT_FILES_IOE (suppa_local.psi)	COMPLETED	0	2026-03-26 17:06:35.083	1m 31s	23s	98.7%	644.4 MB	745.7 MB	199.8 MB	533 MB
68	de/079901	5934331	NFCORE_RNASPLICE:RNASPLICE:SALMON_QUANT_STAR (SRR27320660)	COMPLETED	0	2026-03-26 17:03:27.090	6m 14s	6m	411.0%	16.1 GB	19.4 GB	11.5 GB	27.8 MB
66	1e/d4b95e	5934325	NFCORE_RNASPLICE:RNASPLICE:SALMON_QUANT_STAR (SRR27320655)	COMPLETED	0	2026-03-26 17:02:55.090	7m 6s	6m 24s	418.8%	15 GB	16.9 GB	11 GB	27.8 MB
75	8c/1cd4b5	5934427	NFCORE_RNASPLICE:RNASPLICE:SALMON_QUANT_STAR (SRR17866822)	COMPLETED	0	2026-03-26 17:04:47.089	6m 14s	5m 56s	410.6%	15 GB	16.9 GB	12.3 GB	27.8 MB
70	01/a8b489	5934339	NFCORE_RNASPLICE:RNASPLICE:SALMON_QUANT_STAR (SRR17866818)	COMPLETED	0	2026-03-26 17:03:35.091	7m 36s	6m 9s	414.6%	15.6 GB	16.9 GB	11.8 GB	27.7 MB
84	11/a0542c	5934470	NFCORE_RNASPLICE:RNASPLICE:SALMON_QUANT_STAR (SRR27320659)	COMPLETED	0	2026-03-26 17:05:39.085	6m 52s	6m 9s	423.2%	15 GB	16.9 GB	13 GB	27.8 MB
91	7e/8ae4bc	5934516	NFCORE_RNASPLICE:RNASPLICE:DEXSEQ_DEU:DEXSEQ_COUNT (SRR17866822)	FAILED	-	2026-03-26 17:06:11.085	7m 10s	7m	-	-	-	-	-
86	8e/70ab45	5934474	NFCORE_RNASPLICE:RNASPLICE:DEXSEQ_DEU:DEXSEQ_COUNT (SRR17866818)	FAILED	-	2026-03-26 17:05:55.090	7m 26s	7m	-	-	-	-	-
63	79/fb8c8a	5934313	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:STAR_ALIGN (SRR27320657)	ABORTED	-	2026-03-26 17:02:24.513	-	-	-	-	-	-	-
53	13/34e6a1	5934328	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:STAR_ALIGN (SRR17866817)	ABORTED	-	2026-03-26 17:03:03.092	-	-	-	-	-	-	-
54	ed/659c35	5934329	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:STAR_ALIGN (SRR17866819)	ABORTED	-	2026-03-26 17:03:07.090	-	-	-	-	-	-	-
60	5e/db6c11	5934421	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:STAR_ALIGN (SRR27320658)	ABORTED	-	2026-03-26 17:04:23.090	-	-	-	-	-	-	-
79	e8/e2bb83	5934430	NFCORE_RNASPLICE:RNASPLICE:DEXSEQ_DEU:DEXSEQ_COUNT (SRR27320655)	ABORTED	-	2026-03-26 17:04:59.451	-	-	-	-	-	-	-
82	16/fb2c27	5934457	NFCORE_RNASPLICE:RNASPLICE:DEXSEQ_DEU:DEXSEQ_COUNT (SRR27320660)	ABORTED	-	2026-03-26 17:05:11.830	-	-	-	-	-	-	-
58	d8/aad6fa	5934465	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:STAR_ALIGN (SRR27320656)	ABORTED	-	2026-03-26 17:05:23.088	-	-	-	-	-	-	-
85	6c/ca1199	5934472	NFCORE_RNASPLICE:RNASPLICE:DRIMSEQ_DEXSEQ_DTU_SALMON:DEXSEQ_DTU (1)	ABORTED	-	2026-03-26 17:05:43.086	-	-	-	-	-	-	-
96	70/d3c46c	5934556	NFCORE_RNASPLICE:RNASPLICE:DEXSEQ_DEU:DEXSEQ_COUNT (SRR27320659)	ABORTED	-	2026-03-26 17:07:23.089	-	-	-	-	-	-	-
97	e2/880337	5934595	NFCORE_RNASPLICE:RNASPLICE:SUPPA_SALMON:DIFFSPLICE_IOI (tumor_eocrc-normal_eocrc)	ABORTED	-	2026-03-26 17:08:07.227	-	-	-	-	-	-	-
98	45/e264c3	5934596	NFCORE_RNASPLICE:RNASPLICE:SUPPA_SALMON:DIFFSPLICE_IOI (tumor_locrc-normal_locrc)	ABORTED	-	2026-03-26 17:08:11.086	-	-	-	-	-	-	-
100	e9/5b7d93	5934597	NFCORE_RNASPLICE:RNASPLICE:SUPPA_SALMON:DIFFSPLICE_IOE (tumor_locrc-normal_locrc)	ABORTED	-	2026-03-26 17:08:15.083	-	-	-	-	-	-	-
99	c9/95fa7e	5934599	NFCORE_RNASPLICE:RNASPLICE:SUPPA_SALMON:DIFFSPLICE_IOE (tumor_eocrc-normal_eocrc)	ABORTED	-	2026-03-26 17:08:19.084	-	-	-	-	-	-	-
