"","iso_ref","gene_ref","isoform_id","gene_id","condition_1","condition_2","gene_name","gene_biotype","iso_biotype","gene_overall_mean","gene_value_1","gene_value_2","gene_stderr_1","gene_stderr_2","gene_log2_fold_change","gene_q_value","iso_overall_mean","iso_value_1","iso_value_2","iso_stderr_1","iso_stderr_2","iso_log2_fold_change","iso_q_value","IF_overall","IF1","IF2","dIF","isoform_switch_q_value","gene_switch_q_value","PTC","IR","switchConsequencesGene"
"108534","isoComp_00004131","geneComp_00000260","ENST00000477932.5","ACSS2","tumor_eocrc","normal_eocrc","ACSS2","protein_coding","nonsense_mediated_decay",79.6434976347451,57.9703177617687,100.577896132087,5.97079789933988,8.74831440175436,0.794821569041023,NA,5.81451645812546,7.65226420919175,11.4798107416705,1.4994414527918,2.10011584749595,0.584512355783449,NA,0.0785593023255814,0.134866666666667,0.1231,-0.0117666666666667,0.999823392026522,0.357555745926336,TRUE,0,NA
"108537","isoComp_00004134","geneComp_00000260","ENST00000481284.5","ACSS2","tumor_eocrc","normal_eocrc","ACSS2","protein_coding","nonsense_mediated_decay",79.6434976347451,57.9703177617687,100.577896132087,5.97079789933988,8.74831440175436,0.794821569041023,NA,29.8810786263001,13.0303380057977,42.0916515024374,2.50717586679555,4.6107334804013,1.69089556161211,NA,0.319475581395349,0.199190476190476,0.366352380952381,0.167161904761905,0.357555745926336,0.357555745926336,TRUE,0,NA
"108540","isoComp_00004137","geneComp_00000260","ENST00000488172.5","ACSS2","tumor_eocrc","normal_eocrc","ACSS2","protein_coding","protein_coding",79.6434976347451,57.9703177617687,100.577896132087,5.97079789933988,8.74831440175436,0.794821569041023,NA,2.60114769083443,0.950943379333596,3.20360399316896,0.315109117155469,0.45530127020117,1.74166882696725,NA,0.0267697674418605,0.0132714285714286,0.0287,0.0154285714285714,0.976627733109729,0.357555745926336,FALSE,0,NA
"108542","isoComp_00004139","geneComp_00000260","ENST00000490464.1","ACSS2","tumor_eocrc","normal_eocrc","ACSS2","protein_coding","retained_intron",79.6434976347451,57.9703177617687,100.577896132087,5.97079789933988,8.74831440175436,0.794821569041023,NA,3.06968049865153,2.21280029419533,3.27011157829261,0.443099676327371,0.444946339559225,0.561366554933049,NA,0.0443372093023256,0.0389095238095238,0.038852380952381,-5.71428571428598e-05,0.999823392026522,0.357555745926336,NA,0,NA
"108543","isoComp_00004140","geneComp_00000260","ENST00000491533.5","ACSS2","tumor_eocrc","normal_eocrc","ACSS2","protein_coding","retained_intron",79.6434976347451,57.9703177617687,100.577896132087,5.97079789933988,8.74831440175436,0.794821569041023,NA,1.05085088413196,0.416481885312028,0.254194831961108,0.292011428657388,0.175606791891903,-0.690882219186054,NA,0.0115837209302326,0.00514761904761905,0.00235714285714286,-0.00279047619047619,0.998788637329574,0.357555745926336,NA,0,NA
"108544","isoComp_00004141","geneComp_00000260","ENST00000493250.1","ACSS2","tumor_eocrc","normal_eocrc","ACSS2","protein_coding","protein_coding_CDS_not_defined",79.6434976347451,57.9703177617687,100.577896132087,5.97079789933988,8.74831440175436,0.794821569041023,NA,0.80103538936708,0.580915892826959,0.835012040249003,0.0897332334747412,0.165767019006247,0.51601909687502,NA,0.0106941860465116,0.0111333333333333,0.00735714285714286,-0.00377619047619048,0.999823392026522,0.357555745926336,NA,0,NA
"108546","isoComp_00004143","geneComp_00000260","ENST00000494727.1","ACSS2","tumor_eocrc","normal_eocrc","ACSS2","protein_coding","retained_intron",79.6434976347451,57.9703177617687,100.577896132087,5.97079789933988,8.74831440175436,0.794821569041023,NA,3.80999105279541,3.00741552854387,3.91712037517452,0.408307116379909,0.445857274277625,0.380158436747658,NA,0.0517860465116279,0.0524428571428571,0.0410761904761905,-0.0113666666666667,0.998788637329574,0.357555745926336,NA,0,NA
"108548","isoComp_00004145","geneComp_00000260","ENST00000871368.1","ACSS2","tumor_eocrc","normal_eocrc","ACSS2","protein_coding","protein_coding",79.6434976347451,57.9703177617687,100.577896132087,5.97079789933988,8.74831440175436,0.794821569041023,NA,1.04012096506912,1.28969483700081,0.466772925832645,0.284416356801834,0.250039357149304,-1.44679870622162,NA,0.0165232558139535,0.0246809523809524,0.00374761904761905,-0.0209333333333333,0.982031399004734,0.357555745926336,FALSE,0,NA
"108551","isoComp_00004148","geneComp_00000260","ENST00000871373.1","ACSS2","tumor_eocrc","normal_eocrc","ACSS2","protein_coding","protein_coding",79.6434976347451,57.9703177617687,100.577896132087,5.97079789933988,8.74831440175436,0.794821569041023,NA,1.10484903722486,0.85110275565673,1.0545309028361,0.181897258420227,0.27632751335966,0.305960520912529,NA,0.0144837209302326,0.0162333333333333,0.00891904761904762,-0.00731428571428571,0.999823392026522,0.357555745926336,FALSE,0,NA
"108554","isoComp_00004151","geneComp_00000260","ENST00000871376.1","ACSS2","tumor_eocrc","normal_eocrc","ACSS2","protein_coding","protein_coding",79.6434976347451,57.9703177617687,100.577896132087,5.97079789933988,8.74831440175436,0.794821569041023,NA,1.14418982169781,0.833096866428324,1.16354264243386,0.232155237639902,0.187547290777564,0.477099963083984,NA,0.0156790697674419,0.0135666666666667,0.0139571428571429,0.000390476190476191,0.999823392026522,0.357555745926336,FALSE,0,NA
"108561","isoComp_00004158","geneComp_00000260","ENST00000957794.1","ACSS2","tumor_eocrc","normal_eocrc","ACSS2","protein_coding","protein_coding",79.6434976347451,57.9703177617687,100.577896132087,5.97079789933988,8.74831440175436,0.794821569041023,NA,1.67710940388722,1.14670730249921,3.09659103947651,0.377670832807807,0.427191475782165,1.42530848773214,NA,0.0196976744186047,0.0159190476190476,0.0301952380952381,0.0142761904761905,0.999823392026522,0.357555745926336,FALSE,0,NA
